Student,Roll number,Exam group,Batch,Subject,Marks,Grading level,Remarks
2011-0868,73,QUIZ-I,03 - 03-G 2016-17,SS-03,8.0,C,
2016-1514,54,QUIZ-I,03 - 03-G 2016-17,SS-03,10.0,B,
2014-1293,70,QUIZ-I,03 - 03-G 2016-17,SS-03,8.0,C,
2014-1233,72,QUIZ-I,03 - 03-G 2016-17,SS-03,13.0,A,
2014-1178,11,QUIZ-I,03 - 03-G 2016-17,SS-03,13.0,A,
2012-0971,18,QUIZ-I,03 - 03-G 2016-17,SS-03,15.0,A+,
2016-1503,23,QUIZ-I,02 - 02-P 2016-17,SS-02,14.5,A+,
2016-1506,21,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2014-1259,83,QUIZ-I,02 - 02-P 2016-17,SS-02,9.0,B,
2013-1077,76,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2014-1211,05,QUIZ-I,02 - 02-P 2016-17,SS-02,13.0,A,
2014-1177,72,QUIZ-I,02 - 02-P 2016-17,SS-02,14.0,A+,
2011-0872,58,QUIZ-I,02 - 02-P 2016-17,SS-02,12.0,A,
2015-1330,07,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2015-1354,08,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2016-1511,90,QUIZ-I,02 - 02-P 2016-17,SS-02,13.0,A,
2016-1487,88,QUIZ-I,02 - 02-P 2016-17,SS-02,13.0,A,
2015-1324,86,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2015-1420,19,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2014-1234,82,QUIZ-I,02 - 02-P 2016-17,SS-02,13.5,A+,
2014-1294,80,QUIZ-I,02 - 02-P 2016-17,SS-02,11.0,B+,
2012-0990,09,QUIZ-I,02 - 02-P 2016-17,SS-02,14.5,A+,
2013-1061,14,QUIZ-I,02 - 02-P 2016-17,SS-02,5.0,F,
2012-0904,55,QUIZ-I,02 - 02-P 2016-17,SS-02,13.0,A,
2013-1012,52,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2010-0940,62,QUIZ-I,02 - 02-P 2016-17,SS-02,12.0,A,
2013-1050,77,QUIZ-I,02 - 02-P 2016-17,SS-02,14.0,A+,
2015-1341,03,QUIZ-I,02 - 02-P 2016-17,SS-02,13.0,A,
2011-0781,84,QUIZ-I,02 - 02-P 2016-17,SS-02,13.5,A+,
2013-1010,11,QUIZ-I,02 - 02-P 2016-17,SS-02,15.0,A+,
2012-0928,59,QUIZ-I,02 - 02-P 2016-17,SS-02,4.0,F,
2016-1503,23,QUIZ-I,02 - 02-P 2016-17,URD-02,17.0,A,
2016-1506,21,QUIZ-I,02 - 02-P 2016-17,URD-02,18.0,A+,
2014-1259,83,QUIZ-I,02 - 02-P 2016-17,URD-02,19.0,A+,
2011-0781,84,QUIZ-I,02 - 02-P 2016-17,URD-02,15.0,B+,
2013-1010,11,QUIZ-I,02 - 02-P 2016-17,URD-02,20.0,A+,
2013-1077,76,QUIZ-I,02 - 02-P 2016-17,URD-02,20.0,A+,
2014-1211,05,QUIZ-I,02 - 02-P 2016-17,URD-02,19.0,A+,
